Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
37750	194	141	0	0	2	0	0	215107	12	0	0	161064	7	66731	0	355024	9	40382	0	34889	166490
38000	197	161	32	96	2	0	0	217541	1	0	0	155894	12	64640	0	269384	5	39933	0	36492	167451
38250	156	208	0	0	1	0	0	225036	3	14	0	184329	15	67774	0	266740	6	41464	0	35523	172435
38500	138	191	0	0	1	0	0	220864	3	0	0	146348	13	67645	0	277841	6	42687	0	35061	170520
38750	149	205	0	0	2	0	0	231584	1	0	0	169799	4	71679	0	278352	4	42024	0	37610	171278
39000	140	274	0	0	2	0	0	222009	2	0	8	156424	73	74398	0	273927	5	40368	0	35464	172038
39250	135	225	0	0	1	0	0	225150	20	0	0	158937	2	70083	28	271361	7	43373	0	36286	172938
39500	131	172	1	0	3	0	0	229264	2	0	0	174423	5	69464	0	285152	10	43427	0	36305	174374
39750	140	97	0	0	11	0	0	226701	1	0	0	158769	1	70959	0	287628	7	46141	0	37646	174269
40000	107	93	0	0	2	0	0	236437	0	12	0	153237	3	69335	1	315307	7	44767	0	37419	176098
40250	99	112	0	0	0	0	0	272412	94	0	0	164474	3	72369	27	291605	5	46775	0	36940	177901
40500	141	142	0	19	2	0	0	245796	12	0	0	155746	2	71141	0	302394	5	46069	0	38230	179078
40750	99	122	0	0	1	43	0	240463	56	0	0	158253	22	71319	0	304305	5	46177	0	39421	179700
41000	191	137	0	0	1	0	0	237902	2	0	0	162647	14	75231	0	289916	8	45375	0	37838	179716
41250	290	155	9	0	0	0	0	243435	4	0	0	163970	14	75006	0	304398	5	44894	0	39675	186047
41500	193	124	0	0	1	0	0	245009	8	0	0	172592	6	77372	0	314547	7	45382	0	39591	183209
41750	181	422	0	0	1	0	0	247576	1	56	0	172893	3	78201	0	296768	95	47369	0	39757	185172
42000	182	135	0	0	1	0	0	249952	53	0	0	168352	5	76975	9	304239	5	45540	0	40450	185590
42250	157	177	21	0	3	0	0	254711	11	0	0	170954	20	77999	0	311436	7	46628	0	39479	186830
42500	146	149	0	0	0	0	0	255776	4	0	0	174430	5	87512	0	316366	5	47722	0	43095	188914
42750	221	119	0	0	4	0	0	259917	6	0	0	183885	1	78680	0	309605	5	49097	0	44980	188883
43000	135	119	0	0	4	0	0	286538	4	0	0	168223	66	80556	0	313266	5	47761	0	40918	191081
43250	141	161	0	0	1	0	0	257170	3	1	0	174608	5	80730	0	317165	5	49741	0	42573	191670
43500	170	129	0	0	2	0	0	277448	48	0	0	171972	2	86273	0	320714	5	48168	0	41548	192885
43750	151	140	0	0	0	0	0	314717	6	0	0	177944	4	104647	0	321575	6	53384	0	42690	194349
44000	154	240	1	0	1	0	0	260266	1	0	0	181364	2	83094	0	342334	1604	48784	0	41285	193537
44250	181	138	0	0	1	0	0	262875	3	0	0	183518	3	84205	0	325604	8	50888	0	43106	260291
44500	144	145	0	0	14	0	0	273711	29	0	0	181576	3	83528	0	335502	7	52229	0	44113	203086
44750	138	266	30	0	3	0	0	277887	3	0	0	181120	0	88304	0	335986	5	50462	0	43239	195606
45000	161	88	26	0	1	0	0	273490	15	0	0	178616	2	83850	0	335475	34	53338	0	44642	199357
45250	146	78	0	0	1	0	0	272314	4	1	0	178935	29	94228	0	337007	6	53051	0	43832	201250
45500	135	98	0	10	23	0	0	284607	3	0	0	183913	4	92016	0	349814	5	52117	0	45077	201971
45750	151	113	0	0	6	0	0	285856	21	3	0	184422	3	91484	0	349892	5	54072	0	46119	201254
46000	125	101	0	0	2	0	0	276235	4	0	0	187277	4	91088	0	349642	6	51190	0	44737	204144
46250	184	111	0	0	5	0	0	288898	6	0	0	176530	0	94368	0	343533	35	52663	0	46568	208552
46500	219	132	0	0	28	0	0	305876	4	0	0	189992	3	91127	0	364182	5	51354	0	46469	207498
46750	229	103	10	0	4	0	0	290579	2	4	0	189286	3	94755	0	348630	6	58070	0	45584	202600
47000	225	116	0	0	5	0	0	287514	2	0	0	186906	2	94331	0	360264	5	51759	0	52478	211060
47250	269	160	1	0	7	0	0	296710	6	0	0	195284	1	94814	0	372750	4	54515	0	47053	210841
47500	255	120	0	0	5	0	0	302462	2	0	0	200534	11	96153	0	358182	18	54795	0	47561	207697
47750	227	130	1	0	6	0	0	294308	31	0	0	195317	4	98850	0	366187	7	55580	0	48712	213863
48000	197	180	0	9	7	0	0	303723	6	0	0	201504	7	107811	0	365561	5	58499	0	54012	213658
48250	169	152	10	0	7	0	0	315674	5	1	0	199962	1	96477	18	374257	5	55223	0	51769	212816
48500	184	185	0	0	5	0	0	301500	2	33	10	201242	1	99650	0	380671	6	59367	0	48317	221778
48750	187	191	0	0	1	0	0	305353	2	0	0	199862	1	100848	0	380024	5	55912	0	48732	218231
49000	168	196	51	0	5	0	0	306789	4	57	0	202521	3	101581	0	379589	5	57053	0	49954	219193
